Facultad;Carrera;Día;H_Inicio;H_Salida;Profesor;Semestre;Total Estudiantes;Entrada;Salida;Proyecto
ICA;CIVIL;JUEVES;7;9;DOC_05;2020;63;7;15;1
ICA;CIVIL;MIERCOLES;7;9;DOC_05;2020;68;7;15;1
ICA;COMPUTACION;JUEVES;11;13;DOC_11;2020;17;7;15;1
FILO;P INFORMATICA;VIERNES;8;10;DOC_11;2020;6;7;15;1
ARQ;ARQUITECTURA;MARTES;7;9;DOC_12;2020;19;7;15;1
ICA;S INFORMACION;VIERNES;7;9;DOC_12;2020;71;7;15;1
CQ;QUIMICA;LUNES;9;11;DOC_02;2021;61;7;15;1
FIGEMPA;PETROLEOS;MARTES;16;18;DOC_02;2021;50;7;15;1
ICA;CIVIL;MARTES;7;9;DOC_02;2021;44;7;15;1
ICA;C GRAFICA;JUEVES;9;11;DOC_05;2021;9;7;15;1
ICA;CIVIL;VIERNES;18;20;DOC_05;2021;58;7;15;1
FIGEMPA;GEOLOGIA;MARTES;16;18;DOC_05;2021;58;7;15;1
ICA;CIVIL;LUNES;15;17;DOC_05;2021;46;7;15;1
CQ;QUIMICA;JUEVES;8;10;DOC_05;2021;56;7;15;1
CQ;QUIMICA;VIERNES;9;11;DOC_04;2021;27;7;15;0
FILO;P MATEMATICA;JUEVES;10;12;DOC_04;2021;33;7;15;0
ARQ;ARQUITECTURA;MARTES;9;11;DOC_04;2021;44;7;15;0
ICA;INDUSTRIAL;VIERNES;11;13;DOC_04;2021;42;7;15;0
FILO;P MATEMATICA;JUEVES;7;9;DOC_04;2021;34;7;15;0
FILO;P MATEMATICA;MIERCOLES;7;9;DOC_04;2021;49;7;15;0
FILO;MECATRONICA;VIERNES;7;9;DOC_12;2121;45;7;15;1
ICA;COMPUTACION;MARTES;11;13;DOC_13;2021;20;7;15;1
ICA;C GRAFICA;MARTES;11;13;DOC_13;2021;8;7;15;1
CQ;BIO Y FAR;LUNES;9;11;DOC_13;2021;58;7;15;1
IQ;I QUIMICA;MIERCOLES;11;13;DOC_13;2021;41;7;15;1
ICA;CIVIL;LUNES;7;9;DOC_13;2021;30;7;15;1
ICA;INDUSTRIAL;JUEVES;11;13;DOC_06;2021;76;7;15;0
FIGEMPA;MINAS;LUNES;9;11;DOC_06;2021;13;7;15;0
FILO;P MATEMATICA;MARTES;7;9;DOC_06;2021;42;7;15;0
FILO;P MATEMATICA;MIERCOLES;7;9;DOC_06;2021;40;7;15;0
FILO;MECATRONICA;VIERNES;9;11;DOC_06;2021;46;7;15;0
ICA;CIVIL;JUEVES;7;9;DOC_13;2021;45;7;15;1
ARQ;ARQUITECTURA;MARTES;7;9;DOC_13;2021;46;7;15;1
FIGEMPA;PETROLEOS;VIERNES;7;9;DOC_13;2021;17;7;15;1
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_13;2021;42;7;15;1
CIENCIAS;MATEMATICA;VIERNES;16;18;DOC_10;2021;46;7;15;1
CQ;BIO Y FAR;MARTES;12;14;DOC_10;2021;41;7;15;1
ICA;CIVIL;MARTES;15;17;DOC_10;2021;49;7;15;1
ICA;CIVIL;MIERCOLES;15;17;DOC_10;2021;48;7;15;1
ICA;CIVIL;MIERCOLES;18;20;DOC_10;2021;45;7;15;1
FILO;P MATEMATICA;LUNES;16;18;DOC_07;2021;36;12;20;0
FILO;MECATRONICA;MARTES;16;18;DOC_07;2021;24;12;20;0
CQ;BIO Y FAR;MIERCOLES;14;16;DOC_07;2021;60;12;20;0
FILO;P MATEMATICA;MIERCOLES;16;18;DOC_07;2021;25;12;20;0
FIGEMPA;MINAS;VIERNES;14;16;DOC_07;2021;30;12;20;0
CQ;BIO Y FAR;VIERNES;17;19;DOC_07;2021;63;12;20;0
AGR;AGRONOMIA;MARTES;7;9;DOC_11;2021;55;7;15;1
CQ;BIO Y FAR;JUEVES;13;15;DOC_11;2021;58;7;15;1
ICA;CIVIL;VIERNES;11;13;DOC_11;2021;45;7;15;1
CIENCIAS;MATEMATICA;MIERCOLES;12;14;DOC_11;2021;64;7;15;1
CIENCIAS;MATEMATICA;VIERNES;13;15;DOC_12;2021;43;7;15;1
AGR;AGRONOMIA;JUEVES;7;9;DOC_12;2021;60;7;15;1
ICA;CIVIL;LUNES;9;11;DOC_12;2021;45;7;15;1
CQ;BIO Y FAR;LUNES;9;11;DOC_12;2021;22;7;15;1
FIGEMPA;AMBIENTAL;VIERNES;9;11;DOC_12;2021;11;7;15;1
IQ;I QUIMICA;JUEVES;15;17;DOC_14;2021;38;12;20;0
ICA;C GRAFICA;JUEVES;11;13;DOC_14;2021;36;12;20;0
ICA;S INFORMACION;MARTES;18;20;DOC_14;2021;79;12;20;0
