Facultad,Carrera,Día,H_Inicio,H_Salida,Año_Inicio,Año_Fin,Total Estudiantes,Proyecto,Entrada,Salida,Profesor
ICA,CIVIL,JUEVES,7,9,2020,2020,63,1,7,15,DOC_05
ICA,CIVIL,MIERCOLES,7,9,2020,2020,68,1,7,15,DOC_05
ICA,COMPUTACION,JUEVES,11,13,2020,2020,17,1,7,15,DOC_11
FILO,P INFORMATICA,VIERNES,8,10,2020,2020,6,1,7,15,DOC_11
ARQ,ARQUITECTURA,MARTES,7,9,2020,2020,19,1,7,15,DOC_12
ICA,S INFORMACION,VIERNES,7,9,2020,2020,71,1,7,15,DOC_12
CQ,QUIMICA,LUNES,9,11,2020,2021,61,1,7,15,DOC_02
FIGEMPA,PETROLEOS,MARTES,16,18,2020,2021,50,1,7,15,DOC_02
ICA,CIVIL,MARTES,7,9,2020,2021,44,1,7,15,DOC_02
ICA,C GRAFICA,JUEVES,9,11,2020,2021,9,1,7,15,DOC_05
ICA,CIVIL,VIERNES,18,20,2020,2021,58,1,7,15,DOC_05
FIGEMPA,GEOLOGIA,MARTES,16,18,2020,2021,58,1,7,15,DOC_05
ICA,CIVIL,LUNES,15,17,2020,2021,46,1,7,15,DOC_05
CQ,QUIMICA,JUEVES,8,10,2020,2021,56,1,7,15,DOC_05
CQ,QUIMICA,VIERNES,9,11,2020,2021,27,0,7,15,DOC_04
FILO,P MATEMATICA,JUEVES,10,12,2020,2021,33,0,7,15,DOC_04
ARQ,ARQUITECTURA,MARTES,9,11,2020,2021,44,0,7,15,DOC_04
ICA,INDUSTRIAL,VIERNES,11,13,2020,2021,42,0,7,15,DOC_04
FILO,P MATEMATICA,JUEVES,7,9,2020,2021,34,0,7,15,DOC_04
FILO,P MATEMATICA,MIERCOLES,7,9,2020,2021,49,0,7,15,DOC_04
FILO,MECATRONICA,VIERNES,7,9,2021,2021,45,1,7,15,DOC_12
ICA,COMPUTACION,MARTES,11,13,2020,2021,20,1,7,15,DOC_13
ICA,C GRAFICA,MARTES,11,13,2020,2021,8,1,7,15,DOC_13
CQ,BIO Y FAR,LUNES,9,11,2020,2021,58,1,7,15,DOC_13
IQ,I QUIMICA,MIERCOLES,11,13,2020,2021,41,1,7,15,DOC_13
ICA,CIVIL,LUNES,7,9,2020,2021,30,1,7,15,DOC_13
ICA,INDUSTRIAL,JUEVES,11,13,2020,2021,76,0,7,15,DOC_06
FIGEMPA,MINAS,LUNES,9,11,2020,2021,13,0,7,15,DOC_06
FILO,P MATEMATICA,MARTES,7,9,2020,2021,42,0,7,15,DOC_06
FILO,P MATEMATICA,MIERCOLES,7,9,2020,2021,40,0,7,15,DOC_06
FILO,MECATRONICA,VIERNES,9,11,2020,2021,46,0,7,15,DOC_06
ICA,CIVIL,JUEVES,7,9,2020,2021,45,1,7,15,DOC_13
ARQ,ARQUITECTURA,MARTES,7,9,2020,2021,46,1,7,15,DOC_13
FIGEMPA,PETROLEOS,VIERNES,7,9,2020,2021,17,1,7,15,DOC_13
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2021,42,1,7,15,DOC_13
CIENCIAS,MATEMATICA,VIERNES,16,18,2020,2021,46,1,7,15,DOC_10
CQ,BIO Y FAR,MARTES,12,14,2020,2021,41,1,7,15,DOC_10
ICA,CIVIL,MARTES,15,17,2020,2021,49,1,7,15,DOC_10
ICA,CIVIL,MIERCOLES,15,17,2020,2021,48,1,7,15,DOC_10
ICA,CIVIL,MIERCOLES,18,20,2020,2021,45,1,7,15,DOC_10
FILO,P MATEMATICA,LUNES,16,18,2020,2021,36,0,12,20,DOC_07
