Facultad,Carrera,Día,H_Inicio,H_Salida,Total Estudiantes,Año_Inicio,Año_Fin,Docente_Asignado
CQ,QUIMICA,LUNES,9,11,19,2024,2025,DOC_06
FILO,P MATEMATICA,MARTES,10,12,50,2024,2025,DOC_13
CQ,QUIMICA,MIERCOLES,10,12,39,2024,2025,DOC_10
ICA,CIVIL,MIERCOLES,11,13,35,2024,2025,DOC_09
CQ,QUIMICA,MIERCOLES,11,13,35,2024,2025,DOC_12
FILO,P INFORMATICA,JUEVES,10,12,47,2024,2025,DOC_04
AGR,AGRONOMIA,JUEVES,9,11,29,2024,2025,DOC_07
AGR,AGRONOMIA,MARTES,14,16,40,2024,2025,DOC_06
ARQ,ARQUITECTURA,JUEVES,13,15,25,2024,2025,DOC_06
ARQ,ARQUITECTURA,MIERCOLES,7,9,21,2024,2025,DOC_06
IQ,I QUIMICA,MARTES,9,11,30,2024,2025,DOC_11
ICA,CIVIL,JUEVES,7,9,39,2024,2025,DOC_08
CQ,BIOPROCESOS,JUEVES,9,11,14,2024,2025,DOC_10
ARQ,ARQUITECTURA,JUEVES,10,12,27,2024,2025,DOC_05
FILO,P MATEMATICA,JUEVES,14,16,54,2024,2025,DOC_03
IQ,I QUIMICA,LUNES,9,11,21,2024,2025,DOC_11
CQ,QUIMICA,JUEVES,11,13,27,2024,2025,DOC_11
FILO,P MATEMATICA,JUEVES,7,9,32,2024,2025,DOC_10
FILO,P MATEMATICA,JUEVES,14,16,44,2024,2025,DOC_01
ICA,CIVIL,JUEVES,14,16,35,2024,2025,DOC_07
FILO,P MATEMATICA,LUNES,7,9,16,2024,2025,DOC_08
FILO,P MATEMATICA,LUNES,14,16,49,2024,2025,DOC_07
ICA,INDUSTRIAL,LUNES,14,16,42,2024,2025,DOC_14
ARQ,ARQUITECTURA,LUNES,7,9,31,2024,2025,DOC_05
AGR,AGRONOMIA,LUNES,10,12,39,2024,2025,DOC_08
ICA,CIVIL,LUNES,13,15,45,2024,2025,DOC_09
FILO,P MATEMATICA,LUNES,14,16,33,2024,2025,DOC_01
FILO,P MATEMATICA,LUNES,16,18,21,2024,2025,DOC_14
ICA,CIVIL,LUNES,11,13,45,2024,2025,DOC_12
FILO,MECATRONICA,LUNES,12,14,40,2024,2025,DOC_11
ARQ,ARQUITECTURA,LUNES,14,16,29,2024,2025,DOC_12
FIGEMPA,AMBIENTAL,MARTES,7,9,30,2024,2025,DOC_06
FIGEMPA,MINAS,LUNES,9,11,19,2024,2025,DOC_05
IQ,I QUIMICA,MARTES,13,15,45,2024,2025,DOC_09
IQ,I QUIMICA,MARTES,14,16,37,2024,2025,DOC_01
